English,Arabic,AB Revise Date,AB Revision Step,BA Revise Date,BA Revision Step
mammals,ثَدْيِيَّات,18/06/2024 00:00,1,18/06/2024 00:00,1
coup,اِنْقِلَاب,18/06/2024 00:00,1,18/06/2024 00:00,1
frogs,ضَفَادِع,18/06/2024 00:00,1,18/06/2024 00:00,1
finger,إِصْبَع,18/06/2024 00:00,1,18/06/2024 00:00,1
nail,ضِفِر,18/06/2024 00:00,1,18/06/2024 00:00,1
lizard,سِحْلِيَّة,18/06/2024 00:00,1,18/06/2024 00:00,1
lizards,سَحَالِي,18/06/2024 00:00,1,18/06/2024 00:00,1
nails,أَضَافِير,18/06/2024 00:00,1,18/06/2024 00:00,1
conflict,تَضَارَبَ,18/06/2024 00:00,1,18/06/2024 00:00,1
corn,ذُرَة,18/06/2024 00:00,1,18/06/2024 00:00,1
bee,نَحْلَة,18/06/2024 00:00,1,18/06/2024 00:00,1
bees,نَحْل,18/06/2024 00:00,1,18/06/2024 00:00,1
towers,أَبْرَاج,18/06/2024 00:00,1,18/06/2024 00:00,1
games/toys,أَلْعَاب,18/06/2024 00:00,1,18/06/2024 00:00,1
I arrived,أَوْصَلْتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
I baked,خَبَزتُ,18/06/2024 00:00,1,18/06/2024 00:00,1
to bake,خَبَزَ,18/06/2024 00:00,1,18/06/2024 00:00,1
hello,أَهْلاً,18/06/2024 00:00,1,18/06/2024 00:00,1
bakery,مَخبَز,18/06/2024 00:00,1,18/06/2024 00:00,1
I bake,بَخبِز,18/06/2024 00:00,1,18/06/2024 00:00,1
children,أَطْفَال,18/06/2024 00:00,1,18/06/2024 00:00,1
near,قَرِيب,18/06/2024 00:00,1,18/06/2024 00:00,1
question,سُؤَال,18/06/2024 00:00,1,18/06/2024 00:00,1
frog,ضِفْدَع,18/06/2024 00:00,1,18/06/2024 00:00,1
bakeries,مَخَابِز,18/06/2024 00:00,1,18/06/2024 00:00,1
spring,رَبِيع,18/06/2024 00:00,1,18/06/2024 00:00,1
summer,صَيْف,18/06/2024 00:00,1,18/06/2024 00:00,1
winter,شِتَا,18/06/2024 00:00,1,18/06/2024 00:00,1
autumn,خَرِيف,18/06/2024 00:00,1,18/06/2024 00:00,1
season,فَصل,18/06/2024 00:00,1,18/06/2024 00:00,1
seasons,فُصُول,18/06/2024 00:00,1,18/06/2024 00:00,1
umbrella,شَمْسِيَّة,18/06/2024 00:00,1,18/06/2024 00:00,1
to ask,سَأَلَ,18/06/2024 00:00,1,18/06/2024 00:00,1
I ask,بَسْأَل,18/06/2024 00:00,1,18/06/2024 00:00,1
questions,أَسْئِلَة,18/06/2024 00:00,1,18/06/2024 00:00,1
flowers,زَهْر,18/06/2024 00:00,1,18/06/2024 00:00,1
suns,شُمُوس,18/06/2024 00:00,1,18/06/2024 00:00,1
lives,حَيَوَات,18/06/2024 00:00,1,18/06/2024 00:00,1
